epoch,accuracy,loss,val_accuracy,val_loss
0,0.7893515825271606,0.5443220734596252,0.9336585402488708,0.2156289517879486
1,0.9058493375778198,0.2627267837524414,0.9375609755516052,0.16793608665466309
2,0.9209915995597839,0.22433701157569885,0.9482926726341248,0.14624181389808655
3,0.9278300404548645,0.20541396737098694,0.9570731520652771,0.13515827059745789
4,0.935523271560669,0.18560945987701416,0.9551219344139099,0.13294145464897156
5,0.9358896017074585,0.17775674164295197,0.9541463255882263,0.12760984897613525
6,0.9397972822189331,0.16954442858695984,0.9560975432395935,0.1215963289141655
7,0.9411405324935913,0.16781587898731232,0.9570731520652771,0.12037838250398636
8,0.9443155527114868,0.16056135296821594,0.9580487608909607,0.11810864508152008
9,0.9438270926475525,0.1554030179977417,0.9599999785423279,0.11950097978115082
10,0.9461472630500793,0.14927418529987335,0.9629268050193787,0.11665797978639603
11,0.9470020532608032,0.14652201533317566,0.9648780226707458,0.11328941583633423
12,0.9457809329032898,0.14621956646442413,0.9590243697166443,0.11526541411876678
13,0.9506655335426331,0.14436887204647064,0.9599999785423279,0.11261077970266342
14,0.9479789733886719,0.14029306173324585,0.9599999785423279,0.11135763674974442
15,0.9492001533508301,0.14110657572746277,0.9590243697166443,0.11565956473350525
16,0.9516424536705017,0.13372200727462769,0.9609755873680115,0.11518044024705887
17,0.9484674334526062,0.14076723158359528,0.9629268050193787,0.11818503588438034
18,0.9512761235237122,0.13707658648490906,0.9629268050193787,0.11708221584558487
19,0.9476126432418823,0.140351340174675,0.9590243697166443,0.11206653714179993
