epoch,accuracy,loss,val_accuracy,val_loss
0,0.6230309009552002,0.8981996774673462,0.7278048992156982,0.6447309851646423
1,0.7561362981796265,0.6200405955314636,0.740487813949585,0.6144163012504578
2,0.7640737295150757,0.5960583090782166,0.7912195324897766,0.5222691297531128
3,0.7878862023353577,0.5511248111724854,0.8253658413887024,0.4804551601409912
4,0.7976554036140442,0.5295627117156982,0.8360975384712219,0.4680413603782654
5,0.8096226453781128,0.49852171540260315,0.8321951031684875,0.46700379252433777
6,0.8095005750656128,0.49915099143981934,0.8380487561225891,0.43308672308921814
7,0.8151178359985352,0.48152026534080505,0.8380487561225891,0.43616440892219543
8,0.8181707262992859,0.46857303380966187,0.8399999737739563,0.4135747253894806
9,0.8195139765739441,0.4667937457561493,0.8341463208198547,0.4269300401210785
10,0.8257418274879456,0.4617488384246826,0.8156097531318665,0.4405316710472107
11,0.8220784068107605,0.46163320541381836,0.8439024686813354,0.40386372804641724
12,0.8258639574050903,0.4489862024784088,0.8429268002510071,0.43706244230270386
13,0.8317254781723022,0.4347657561302185,0.8517073392868042,0.39047297835350037
14,0.8358774185180664,0.4325428307056427,0.8468292951583862,0.39851295948028564
15,0.831847608089447,0.43621954321861267,0.8419511914253235,0.40531834959983826
16,0.8349004983901978,0.42481330037117004,0.8536585569381714,0.4032393991947174
17,0.8417389392852783,0.41069209575653076,0.8507317304611206,0.39005571603775024
18,0.8430821895599365,0.40465202927589417,0.8536585569381714,0.38660526275634766
19,0.839907169342041,0.4043976664543152,0.854634165763855,0.3884265124797821
20,0.842837929725647,0.4039406180381775,0.8634146451950073,0.3608045279979706
21,0.8400292992591858,0.4094475209712982,0.8360975384712219,0.39373230934143066
22,0.8406398892402649,0.3949790894985199,0.8487805128097534,0.37138041853904724
23,0.8469898700714111,0.39032694697380066,0.8731707334518433,0.34667807817459106
24,0.8495543003082275,0.3842686712741852,0.8770731687545776,0.33548906445503235
25,0.8460129499435425,0.39532795548439026,0.8458536863327026,0.4009798765182495
26,0.8482109904289246,0.38535138964653015,0.8536585569381714,0.40142616629600525
27,0.8466235399246216,0.38482582569122314,0.8536585569381714,0.41394346952438354
28,0.8491879105567932,0.38604217767715454,0.8634146451950073,0.34137582778930664
29,0.8530955910682678,0.37778791785240173,0.8653658628463745,0.34550464153289795
